CD Result,flag,username,timestamp
E:\PycharmProject\BiFA\gradio_cached_examples\19\CD Result\tmph09v622c.png,,,2023-04-22 14:16:53.957624
E:\PycharmProject\BiFA\gradio_cached_examples\19\CD Result\tmpewhzcnfk.png,,,2023-04-22 14:16:54.423680
