Input1 Img,Input2 Img,Checkpoint,flag,username,timestamp
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpq4aeomrw.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpdgqse0pn.png,LEVIR,,,2023-04-22 15:44:06.585571
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpzruha9py.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp9rcaflsd.png,LEVIR,,,2023-04-22 15:44:17.827068
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpdp0adxcz.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpb0q0l66k.png,LEVIR,,,2023-04-22 15:44:27.175319
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpahnzli_u.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmps599wpk1.png,LEVIR,,,2023-04-22 15:44:41.710812
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpyqh1pipg.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp34dh01xq.png,LEVIR+,,,2023-04-22 15:44:58.125074
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpb120ojcm.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpamq0efwp.png,CLCD,,,2023-04-22 15:45:05.997053
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpzvmsifna.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp0ym6vfi6.png,CLCD,,,2023-04-22 15:50:04.262655
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpbg7y_gkn.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp2sr3v5fk.png,CLCD,,,2023-04-22 15:51:49.534076
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpsjtoezki.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp3gbvcwau.png,SYSU,,,2023-04-22 15:53:29.500293
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpk510t0jj.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpbvpmyuut.png,LEVIR,,,2023-04-22 15:53:56.450790
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpy8h_ce84.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp3fou6uv8.png,CLCD,,,2023-04-22 15:54:05.041174
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpz4a0rrps.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp4epmyng6.png,CLCD,,,2023-04-22 15:54:09.072692
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpaksqp7d3.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpok7d35_b.png,CLCD,,,2023-04-22 15:54:12.565268
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpipg5ugqq.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp2j_eb5en.png,LEVIR+,,,2023-04-22 15:54:20.621156
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpdo1ot0ej.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp1w1r0ibd.png,SYSU,,,2023-04-22 15:54:25.460092
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpbl3fjs8r.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpkb7xbicl.png,LEVIR+,,,2023-04-22 15:54:34.925711
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpf9onp8s_.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpbkzzekid.png,DSIFN,,,2023-04-22 15:54:39.368551
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpnnx2_a2a.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpdt21dyei.png,SYSU,,,2023-04-22 15:54:44.403330
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpy4exfpxn.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpf54zhvor.png,LEVIR+,,,2023-04-22 15:54:50.023392
E:\PycharmProject\BiFA\flagged\Input1 Img\tmp2z57obrv.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpuo5ckht_.png,WHU,,,2023-04-22 18:02:07.065403
E:\PycharmProject\BiFA\flagged\Input1 Img\tmp379527do.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp77a9hsuy.png,WHU,,,2023-04-22 18:02:31.537002
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpbofnmh34.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpapdtt85v.png,WHU,,,2023-05-09 18:23:09.423736
E:\PycharmProject\BiFA\flagged\Input1 Img\tmp3jzva834.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpd9lxs4ra.png,LEVIR,,,2023-05-09 18:23:58.462063
E:\PycharmProject\BiFA\flagged\Input1 Img\tmp2uiy3s5t.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpxha6v1wc.png,WHU,,,2023-05-10 18:56:02.102160
E:\PycharmProject\BiFA\flagged\Input1 Img\tmp4qrlomd0.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpp7kxvowp.png,WHU,,,2023-05-10 18:56:13.169032
E:\PycharmProject\BiFA\flagged\Input1 Img\tmp_5d3palu.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp81bx_4a_.png,LEVIR,,,2023-05-10 18:56:18.828306
